[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14591:8 "***********************************"
[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14592:8 "Abubu " "v6.9.04"
[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14593:8 "Updated on" "Wed 20 Sep 2023 15:53:43 (EDT)"
[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14594:8 "Developed by Abouzar Kaboudian!"
[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14595:8 "For support email: abouzar.kaboudian@physics.gatech.edu"
[INFO] 1777668536290 - https://abubujs.org/libs/Abubu.latest.js 14596:8 "***********************************"
[INFO] 1777668536314 - https://abubujs.org/libs/Abubu.latest.js 14632:12 "WebGL 2.0 context successfully initialized!"
[INFO] 1777668536315 - https://abubujs.org/libs/Abubu.latest.js 27308:12 "Loaded the library without using require.js..."
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "1\t" "#version 300 es"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "2\t" "precision highp float;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "3\t" "precision highp int;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "4\t" ""
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "5\t" "uniform sampler2D   inTexture1 ;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "6\t" "uniform sampler2D   inTexture2 ;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "7\t" "uniform sampler2D   inTexture3 ;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "8\t" "uniform sampler2D   inTexture4 ;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "9\t" "uniform sampler2D   inTexture5 ;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "10\t" ""
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "11\t" "uniform float       dt, dx, dy;"
[INFO] 1777668536465 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "12\t" ""
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "13\t" "in vec2 cc, pixPos ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "14\t" ""
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "15\t" "layout (location = 0) out vec4 ocolor1 ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "16\t" "layout (location = 1) out vec4 ocolor2 ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "17\t" "layout (location = 2) out vec4 ocolor3 ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "18\t" "layout (location = 3) out vec4 ocolor4 ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "19\t" "layout (location = 4) out vec4 ocolor5 ;"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "20\t" ""
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "21\t" "#define r1       color1.r"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "22\t" "#define g1       color1.g"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "23\t" "#define b1       color1.b"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "24\t" "#define a1       color1.a"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "25\t" ""
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "26\t" "#define r2       color2.r"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "27\t" "#define g2       color2.g"
[INFO] 1777668536466 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "28\t" "#define b2       color2.b"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "29\t" "#define a2       color2.a"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "30\t" ""
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "31\t" "#define r3       color3.r"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "32\t" "#define g3       color3.g"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "33\t" "#define b3       color3.b"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "34\t" "#define a3       color3.a"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "35\t" ""
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "36\t" "#define r4       color4.r"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "37\t" "#define g4       color4.g"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "38\t" "#define b4       color4.b"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "39\t" "#define a4       color4.a"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "40\t" ""
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "41\t" "#define r5       color5.r"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "42\t" "#define g5       color5.g"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "43\t" "#define b5       color5.b"
[INFO] 1777668536467 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "44\t" "#define a5       color5.a"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "45\t" ""
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "46\t" "/* constants */"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "47\t" "const float Ko = 5.4;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "48\t" "const float Cao = 2.0;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "49\t" "const float Nao = 140.0;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "50\t" "const float Vc = 0.016404;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "51\t" "const float Vsr = 0.001094;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "52\t" "const float Vss = 5.468e-05;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "53\t" "const float Bufc = 0.2;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "54\t" "const float Kbufc = 0.001;"
[INFO] 1777668536468 - https://abubujs.org/libs/Abubu.latest.js 14569:16 "55\t" "const float Bufsr = 10.0;"
